"name","sys_class_name","category","version","operational_status"
"Apache Web Server apache [e20acggesa00]","Applicazione","Resource","","Operational"
"Apache Web Server apache [e20aciaguf09.enelint.global]","Applicazione","Resource","","Operational"
"Apache Web Server apache [e20aciaguf09.enelint.global]","Applicazione","Resource","","Operational"
"Apache Web Server apache [e2aaeigrod00]","Applicazione","Resource","","Operational"
"Apache Web Server apache [e2aaeigrod00]","Applicazione","Resource","","Operational"
"Apache Web Server apache [e2aawdanta00]","Applicazione","Resource","","Operational"
"Apache Web Server apache [e2aawdanta00]","Applicazione","Resource","","Operational"
"Apache Web Server apache [e2aawdanta01]","Applicazione","Resource","","Operational"
"Apache Web Server apache [e2aawdanta02]","Applicazione","Resource","","Operational"
"Apache Web Server apache [e2aawdanta02]","Applicazione","Resource","","Operational"
"Apache Web Server apache [e2aawdanta03]","Applicazione","Resource","","Operational"
"Apache Web Server apache [e2aawdanta03]","Applicazione","Resource","","Operational"
"Apache Web Server apache [e2aawdanta04]","Applicazione","Resource","","Operational"
"Apache Web Server apache [e2aawdanta04]","Applicazione","Resource","","Operational"
"Apache Web Server apache [e2aawdanta05]","Applicazione","Resource","","Operational"
"Apache Web Server apache [e2aawdanta05]","Applicazione","Resource","","Operational"
"Apache Web Server apache [e2aawdanta06]","Applicazione","Resource","","Operational"
"Apache Web Server apache [e2aawdanta06]","Applicazione","Resource","","Operational"
"Apache Web Server apache [e2aawdanta07]","Applicazione","Resource","","Operational"
"Apache Web Server apache [e2aawdanta07]","Applicazione","Resource","","Operational"
"Apache Web Server apache [e2aawdanta08]","Applicazione","Resource","","Operational"
"Apache Web Server apache [e2aawdanta09]","Applicazione","Resource","","Operational"
"Apache Web Server apache [e2aawdmona13]","Applicazione","Resource","","Operational"
"Apache Web Server apache [e2aawdmona13]","Applicazione","Resource","","Operational"
"Apache Web Server apache [e2aawdmona16]","Applicazione","Resource","","Operational"
"Apache Web Server apache [e2aawdmona16]","Applicazione","Resource","","Operational"
"Apache Web Server apache [e2aawdmona17]","Applicazione","Resource","","Operational"
"Apache Web Server apache [e2aawdmona17]","Applicazione","Resource","","Operational"
"Apache Web Server apache [e2aawdmona18]","Applicazione","Resource","","Operational"
"Apache Web Server apache [e2aawdmona18]","Applicazione","Resource","","Operational"
"Apache Web Server apache [e2aawdmona19]","Applicazione","Resource","","Operational"
"Apache Web Server apache [e2aawdmona19]","Applicazione","Resource","","Operational"
"Apache Web Server apache [e2aawdmona21]","Applicazione","Resource","","Operational"
"Apache Web Server apache [e2aawdmona21]","Applicazione","Resource","","Operational"
"Apache Web Server apache [e2aawdmona22]","Applicazione","Resource","","Operational"
"Apache Web Server apache [e2aawdmona22]","Applicazione","Resource","","Operational"
"Apache Web Server apache [e2aawdmona47]","Applicazione","Resource","","Operational"
"Apache Web Server apache [e2aawdmona47]","Applicazione","Resource","","Operational"
"Apache Web Server apache [e2aawdmona56]","Applicazione","Resource","","Operational"
"Apache Web Server apache [e2aawdmona56]","Applicazione","Resource","","Operational"
"Apache Web Server apache [e2aawdmona61]","Applicazione","Resource","","Operational"
"Apache Web Server apache [e2aawdmona61]","Applicazione","Resource","","Operational"
"Apache Web Server apache [e2aawdmona66]","Applicazione","Resource","","Operational"
"Apache Web Server apache [e2aawdmona66]","Applicazione","Resource","","Operational"
"Apache Web Server apache [e2aawdmoua01]","Applicazione","Resource","","Operational"
"Apache Web Server apache [e2aawdmoua01]","Applicazione","Resource","","Operational"
"Apache Web Server Apache [e2aawiccta06]","Applicazione","Resource","","Operational"
"Apache Web Server Apache [e2aawiccta06]","Applicazione","Resource","","Operational"
"Apache Web Server Apache [e2aawiccta07]","Applicazione","Resource","","Operational"
"Apache Web Server Apache [e2aawiccta07]","Applicazione","Resource","","Operational"
"Apache Web Server Apache [e2aawiccta08]","Applicazione","Resource","","Operational"
"Apache Web Server Apache [e2aawiccta09]","Applicazione","Resource","","Operational"
"Apache Web Server Apache [e2aawiccta09]","Applicazione","Resource","","Operational"
"Apache Web Server apache [e2aawiopda04]","Applicazione","Resource","","Operational"
"Apache Web Server apache [e2aawiopda04]","Applicazione","Resource","","Operational"
"Apache Web Server Apache [e2aawmccia06]","Applicazione","Resource","","Operational"
"Apache Web Server Apache [e2aawmccia07]","Applicazione","Resource","","Operational"
"Apache Web Server Apache [e2aawmccia07]","Applicazione","Resource","","Operational"
"Apache Web Server Apache [e2aawmccia08]","Applicazione","Resource","","Operational"
"Apache Web Server Apache [e2aawmccia08]","Applicazione","Resource","","Operational"
"Apache Web Server Apache [e2aawmccia09]","Applicazione","Resource","","Operational"
"Apache Web Server Apache [e2aawmccia09]","Applicazione","Resource","","Operational"
"Apache Web Server Apache [e2aawmccia10]","Applicazione","Resource","","Operational"
"Apache Web Server Apache [e2aawmccia10]","Applicazione","Resource","","Operational"
"Apache Web Server Apache [e2aawmccia11]","Applicazione","Resource","","Operational"
"Apache Web Server Apache [e2aawmccia11]","Applicazione","Resource","","Operational"
"Apache Web Server Apache [e2aawmccia12]","Applicazione","Resource","","Operational"
"Apache Web Server Apache [e2aawmccia13]","Applicazione","Resource","","Operational"
"Apache Web Server Apache [e2aawmccia13]","Applicazione","Resource","","Operational"
"Apache Web Server apache [e6aaeigrof00]","Applicazione","Resource","","Operational"
"Apache Web Server apache [e6aaziloga00]","Applicazione","Resource","","Operational"
"Apache Web Server apache [e6aaziloga00]","Applicazione","Resource","","Operational"
"Apache Web Server Apache [e80aece2ba00]","Applicazione","Resource","","Operational"
"Apache Web Server Apache [e80aece2ba00]","Applicazione","Resource","","Operational"
"Apache Web Server Apache [e80aece2ba01]","Applicazione","Resource","","Operational"
"Apache Web Server Apache [e80aece2ba01]","Applicazione","Resource","","Operational"
"Apache Web Server apache [e9aawcnewa09]","Applicazione","Resource","","Operational"
"Apache Web Server apache [elaaemanca00]","Applicazione","Resource","","Operational"
"Apache Web Server apache [elaaemanca00]","Applicazione","Resource","","Operational"
"Apache Web Server apache [elaaemanca00]","Applicazione","Resource","","Operational"
"Apache Web Server apache [elaaembraa00]","Applicazione","Resource","","Operational"
"Apache Web Server apache [elaaembraa00]","Applicazione","Resource","","Operational"
"Apache Web Server apache [elaaemgeta84]","Applicazione","Resource","","Operational"
"Apache Web Server apache [elaawdenoa01]","Applicazione","Resource","","Operational"
"Apache Web Server apache [elaawdenoa01]","Applicazione","Resource","","Operational"
"Apache Web Server apache [elaawdenoa02]","Applicazione","Resource","","Operational"
"Apache Web Server apache [elaawdenoa02]","Applicazione","Resource","","Operational"
"Apache Web Server apache [elaawiopua05]","Applicazione","Resource","","Operational"
"Apache Web Server apache [elaawiopua05]","Applicazione","Resource","","Operational"
"Apache Web Server apache [elaawiopua36]","Applicazione","Resource","","Operational"
"Apache Web Server apache [elaawiopua36]","Applicazione","Resource","","Operational"
"Apache Web Server apache [elxminwcon00]","Applicazione","Resource","","Operational"
"Apache Web Server apache [elxminwcon00]","Applicazione","Resource","","Operational"
"Apache Web Server apache [ewaawcps0a20]","Applicazione","Resource","","Operational"
"Apache Web Server apache* [claaeiheef00.enelint.global]","Applicazione","Resource","","Operational"
"Apache Web Server apache* [claaeiheef01.enelint.global]","Applicazione","Resource","","Operational"
"Apache Web Server apache* [claaemweef00]","Applicazione","Resource","","Operational"
"Apache Web Server apache* [claaemweef00]","Applicazione","Resource","","Operational"
"Apache Web Server apache* [claaemweef01]","Applicazione","Resource","","Operational"
"Apache Web Server apache* [claaemweef01]","Applicazione","Resource","","Operational"
"Apache Web Server apache* [claaemweef02]","Applicazione","Resource","","Operational"
"Apache Web Server apache* [claaemweef02]","Applicazione","Resource","","Operational"
"Apache Web Server apache* [claaemweef03]","Applicazione","Resource","","Operational"
