"name","short_description","apm_business_process","application_type","architecture_type","install_type","install_status","life_cycle_stage_status","life_cycle_stage","technology_stack","user_base","platform","last_change_date","owned_by","it_application_owner","sys_updated_by","business_criticality","emergency_tier","data_classification","certified","model_id"
"3SUN Data Platform - Reporting & Analytics","FileGate si  an Application for:
-	Collecting data and images from the 3SUN production equipments related to PV modules
-	Archiving data and images
-	In the future il will manage access to data and images for post-processing purposes (eg Analytics or claim management) ","","COTS (Commercial Off-The-Shelf NOT customized)","","","Active","","","","","","","","","admin","","","","falso","Unknown"
"3SUN DC Manager","3SUN DC Manager is a local application that manages Local Datacenter operations, based on HPE GreenLake solution. Hypervisor to managed and optimizes Virtual Machine operations, providing real-time monitoring, resource allocation, and performance analysis for 3Sun Data Center. It automates routine tasks, enhances energy efficiency, and ensures high availability. Integrates with IT infrastructure management systems to streamline data center workflows and improve operational efficiency","","COTS (Commercial Off-The-Shelf NOT customized)","","","Active","","","","","","","","","admin","","","","falso","Unknown"
"3SUN FMCS","3SUN FMCS is the local application that controls and manages different on premise facilities, integrating on a centralized database and related HMI a wide set of data flows from different plant systems such as:  Bulk/Special Gas, Chemical Distribution System, Heating, Ventilation and Air Conditioning and Clean Room – HVAC, Exhaust System, Compressed Dry Air – (CDA), Process cooling water - PCW, Lift station, Pozzetti rilancio acque nere, Sistema prima pioggia e rilancio acque bianche, Cabine media tensione, Sistema di sicurezza leakage ambientale gas e chemicals etc.. ","","COTS (Commercial Off-The-Shelf customized)","","","Active","","","","","","","","","admin","","","","falso","Unknown"
"3SUN Gigafactory CRM","CRM in order to manage the sales and post sales processes of 3SUN to sell new photovoltaic panels. In particular this application manages the following processes:
- Lead Management
- Account and Contact management
- Campaing management
- Opportunity management
- Order management","","COTS (Commercial Off-The-Shelf customized)","","","Active","","","","","","","","","admin","","","","falso","Unknown"
"3Sun Gigafactory Website","The APM is the 3Sun Gigafactory Webportal. This portal provides external customers relevant info about 3Sun products (PV Panels). It is composed by 4 pages: Homepage - a general overview about 3Sun and its products, About page - a detailed page in which 3Sun history is explained, Two product pages useful to describe 3Sun products, a News pages to read the latest info about 3Sun.
The web portal also allows to collect Leads, providing a generic form that will create a Case in the related Salesforce CRM (APM AP36564)","","COTS (Commercial Off-The-Shelf customized)","","","Active","","","","","","","","","admin","","","","falso","Unknown"
"3SUN IPAM","3SUN IPAM is a local application that manages IP Addresses space in 3SUN for OT and IT Networks. It has no integrations with other Datacenter applications. IPAM streamlines the allocation, tracking, and management of IP addresses within a 3Sun network plant. It automates IP address assignments, detects conflicts, and provides detailed usage reports. Integrates with DNS and DHCP servers to enhance network plant efficiency and reduce administrative overhead","","COTS (Commercial Off-The-Shelf NOT customized)","","","Active","","","","","","","","","admin","","","","falso","Unknown"
"3SUN MCS","3SUN MCS is the system that automate carriers management in the ""Cell line"" of the 3SUN production plant.","","COTS (Commercial Off-The-Shelf customized)","","","Active","","","","","","","","","admin","","","","falso","Unknown"
"3SUN MDM","3SUN MDM is a Mobile Device Management Platform that controls PC & Tablet configurations for the OT 3SUN Production plant. MDM enhances the security and management of mobile tablet devices within a 3Sun plant . It provides remote device configuration, application management, and data protection. Supports policy enforcement and compliance monitoring, integrating with enterprise security systems to ensure secure and efficient mobile operations.","","COTS (Commercial Off-The-Shelf NOT customized)","","","Active","","","","","","","","","admin","","","","falso","Unknown"
"3SUN MES","Manifacturing Execution System - integrates 3SUN production equipments, manages BOM and production processes and updates ERP System with MP consumtion, scraps and SF/FG.","","COTS (Commercial Off-The-Shelf customized)","","","Active","","","","","","","","","admin","","","","falso","Unknown"
"3SUN Network Configuration Manager","3SUN Network Configuration Manager is a tool that stores all the local network configurations. This tool simplifies the management of 3Sun network plant devices by automating configuration tasks and ensuring compliance with policies. It tracks changes, provides backup and restore capabilities, and generates detailed reports. Integrates with network monitoring tools to enhance overall network efficiency and security","","COTS (Commercial Off-The-Shelf NOT customized)","","","Active","","","","","","","","","admin","","","","falso","Unknown"
"3SUN Network Monitoring","3SUN Network Monitoring is the local tool that enables network monitoring and governance for both OT and 3SUN datacenter networks. This tool ensures optimal network performance by continuously tracking and analyzing network traffic. It identifies bottlenecks, detects anomalies, and provides real-time alerts. Integrates with security systems and IT management platforms to enhance overall 3Sun network plant reliability and security","","COTS (Commercial Off-The-Shelf customized)","","","Active","","","","","","","","","admin","","","","falso","Unknown"
"3SUN PROMETEO","""Application for managing the maintenance of the factory and plants within the EGP-3SUN site.
Prometeo is divided into two platforms:
- Prometeo Manutenzioni: management of machine maintenance (Preventive, Ordinary, Unscheduled) for production lines, maintenance of equipment attached to production lines including aspects related to UNI regulations and legal inspections;
- Prometeo Sicurezza: tracking of interventions on production and non-production equipment, certification and qualification of personnel for carrying out work, health suitability; management of 1st, 2nd and 3rd Category P.I.D.'s; compilation of documents such as (D.U.V.R.I. and D.S.A.), with relative computerised document control on the technical-professional suitability of external companies entering the EGP -3SUN site.
The two platforms communicate with each other by tracking in real time the authorisations to carry out maintenance or not"".","","Custom (developed from the scratch)","","","Active","","","","","","","","","admin","","","","falso",""
"3SUN PV Simulator","3SUN PV Simulator is an application that performs pv simulation covering different scenarios and stakeholders. The ""consumer"" simulation is availabe for free as a public service on the 3SUN Website, a more complex tool is available for both distributors and installers and performs a  technical and economic desing of PV installations.","","COTS (Commercial Off-The-Shelf NOT customized)","","","Active","","","","","","","","","admin","","","","falso","Unknown"
